rank,name,frequency
1,Mary,3054624
2,Patricia,1551808
3,Jennifer,1469987
4,Linda,1448284
5,Elizabeth,1403790
6,Barbara,1385994
7,Susan,1103157
8,Jessica,1048264
9,Sarah,987732
10,Karen,986709
11,Lisa,966159
12,Nancy,960589
13,Betty,890465
14,Sandra,874027
15,Margaret,867664
16,Ashley,853546
17,Kimberly,842721
18,Emily,839846
19,Donna,822123
20,Michelle,814243
21,Carol,805597
22,Amanda,773876
23,Melissa,755953
24,Deborah,740449
25,Stephanie,739354
26,Dorothy,737114
27,Rebecca,729249
28,Sharon,722198
29,Laura,711837
30,Cynthia,705803
31,Amy,683154
32,Kathleen,680072
33,Angela,660294
34,Shirley,653962
35,Brenda,607600
36,Emma,600812
37,Anna,596649
38,Pamela,594520
39,Nicole,591769
40,Samantha,585488
41,Katherine,565185
42,Christine,557278
43,Helen,552703
44,Debra,550522
45,Rachel,545644
46,Carolyn,537933
47,Janet,536725
48,Maria,530981
49,Catherine,527338
50,Heather,525371
51,Diane,517320
52,Olivia,514993
53,Julie,507070
54,Joyce,496038
55,Victoria,492988
56,Ruth,492514
57,Virginia,478066
58,Lauren,472988
59,Kelly,472858
60,Christina,471271
61,Joan,466931
62,Evelyn,453238
63,Judith,449653
64,Andrea,439496
65,Hannah,439385
66,Cheryl,439302
67,Megan,438965
68,Jacqueline,420029
69,Martha,408819
70,Madison,404939
71,Teresa,403495
72,Gloria,402354
73,Janice,400631
74,Sara,399548
75,Ann,398197
76,Abigail,396115
77,Kathryn,395600
78,Sophia,388604
79,Frances,384820
80,Jean,384181
81,Judy,380804
82,Alice,380182
83,Isabella,378931
84,Julia,376489
85,Grace,374617
86,Denise,372603
87,Amber,372233
88,Beverly,370855
89,Danielle,369994
90,Marilyn,368240
91,Charlotte,366983
92,Theresa,364636
93,Natalie,363042
94,Diana,361781
95,Brittany,359703
96,Doris,359337
97,Kayla,343794
98,Alexis,342628
99,Lori,341488
100,Marie,337979
101,Tiffany,337928
102,Kathy,333850
103,Tammy,331907
104,Rose,331320
105,Crystal,329434
106,Taylor,327230
107,Jane,322036
108,Erin,315014
109,Ava,314459
110,Alyssa,312148
111,Allison,311001
112,Bonnie,309037
113,Shannon,295474
114,Robin,290665
115,Lillian,290047
116,Tina,289272
117,Dawn,288671
118,Phyllis,288392
119,Peggy,283564
120,Paula,275495
121,Mia,275334
122,Audrey,270540
123,Jamie,268953
124,Leslie,267247
125,Valerie,264783
126,Anne,264123
127,Lois,262113
128,Wendy,261746
129,Connie,260640
130,Wanda,260191
131,Brianna,259791
132,Vanessa,258763
133,Courtney,257807
134,Cindy,256770
135,Melanie,255778
136,Jasmine,253856
137,Ella,253606
138,Ruby,251572
139,Tracy,250710
140,Monica,246825
141,Elaine,242422
142,Norma,242216
143,Rita,241637
144,April,241118
145,Alexandra,240710
146,Sheila,237758
147,Leah,234531
148,Chloe,233041
149,Erica,231080
150,Sherry,229681
151,Alicia,227074
152,Michele,223143
153,Ellen,222776
154,Mildred,221873
155,Amelia,220789
156,Morgan,220231
157,Eleanor,219542
158,Kristen,218346
159,Suzanne,216254
160,Caroline,214880
161,Katie,213641
162,Annie,213300
163,Irene,212956
164,Joanne,210133
165,Rhonda,207959
166,Jill,207918
167,Veronica,206718
168,Holly,202869
169,Darlene,202429
170,Carrie,201857
171,Gail,199265
172,Sylvia,197498
173,Anita,195798
174,Josephine,195710
175,Brooke,195466
176,Dana,191958
177,Louise,191952
178,Dolores,190812
179,Claire,188266
180,Marjorie,187695
181,Debbie,187476
182,Sally,186529
183,Eva,185272
184,Renee,184007
185,Savannah,182028
186,Lynn,181380
187,Kim,179703
188,Kristin,179221
189,Lorraine,178372
190,Jo,176438
191,Vivian,175985
192,Geraldine,175083
193,Tara,175027
194,Sydney,174825
195,Madeline,173433
196,Hailey,173385
197,Cathy,170214
198,Cassandra,169500
199,Juanita,167258
200,Molly,166744
201,Regina,166614
202,Laurie,165677
203,Kaitlyn,165400
204,Eileen,165123
205,Lily,163811
206,Clara,163480
207,Stacy,163324
208,June,162534
209,Chelsea,161763
210,Colleen,161682
211,Sofia,161660
212,Esther,159661
213,Lucy,159264
214,Haley,158205
215,Annette,158122
216,Hazel,157453
217,Lindsey,157026
218,Beth,155629
219,Joann,155504
220,Naomi,153502
221,Vicki,153091
222,Avery,152910
223,Gina,152309
224,Roberta,151923
225,Lydia,151500
226,Destiny,149888
227,Carla,149330
228,Kelsey,149189
229,Yvonne,149044
230,Stacey,147549
231,Shelby,147385
232,Jenna,147217
233,Heidi,146636
234,Terri,146040
235,Rosemary,145955
236,Loretta,145777
237,Zoe,145045
238,Jeanne,144902
239,Paige,144111
240,Maureen,142985
241,Faith,141710
242,Jeanette,141252
243,Edith,141103
244,Sabrina,139958
245,Addison,138951
246,Florence,138802
247,Edna,138723
248,Nora,137425
249,Autumn,136929
250,Gabrielle,136729
251,Mackenzie,136615
252,Kristina,136362
253,Kaylee,136095
254,Joy,134968
255,Melinda,134850
256,Deanna,134147
257,Jordan,133881
258,Katelyn,133202
259,Pauline,132485
260,Carmen,132479
261,Sue,132333
262,Charlene,130996
263,Tamara,130932
264,Rosa,130453
265,Alexa,130427
266,Lindsay,130079
267,Gladys,129746
268,Marlene,129646
269,Marcia,129491
270,Gabriella,129454
271,Lucille,128735
272,Stella,128581
273,Arlene,128467
274,Riley,128118
275,Aubrey,126272
276,Constance,125875
277,Erika,124931
278,Thelma,124728
279,Claudia,120715
280,Marissa,120421
281,Tonya,120389
282,Violet,119235
283,Georgia,119164
284,Brooklyn,117399
285,Kylie,117304
286,Harper,116940
287,Patsy,116661
288,Tanya,116649
289,Alison,114698
290,Gwendolyn,114196
